;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
34;AG_Top100_18;35;Jain;Alright;Souldier;2018-08-24;1;62;44ahv3Zj4FOJoy8gJLZF9B;222493;0.685;0.611;8;-8.057;0;0.068;0.0181;6.64e-06;0.035;0.598;184.055;0.598;https://api.spotify.com/v1/tracks/44ahv3Zj4FOJoy8gJLZF9B;4;spotify:track:44ahv3Zj4FOJoy8gJLZF9B;['french indie pop']
35;AG_Top100_18;36;Foster The People;I Love My Friends;Sacred Hearts Club;2017-07-21;1;57;4bMIRaesSZwIldFWCGs96S;225426;0.705;0.887;4;-5.168;0;0.0318;0.0323;0.000578;0.227;0.873;115.97;0.873;https://api.spotify.com/v1/tracks/4bMIRaesSZwIldFWCGs96S;4;spotify:track:4bMIRaesSZwIldFWCGs96S;['indie pop', 'indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'pop', 'rock']
36;AG_Top100_18;37;Radiohead;Lift;OK Computer OKNOTOK 1997 2017;2017-06-23;2;50;0EbIifYAM9wTYlPzKgTwFA;246840;0.309;0.547;4;-7.752;1;0.0297;0.00226;0.836;0.108;0.157;156.736;0.157;https://api.spotify.com/v1/tracks/0EbIifYAM9wTYlPzKgTwFA;4;spotify:track:0EbIifYAM9wTYlPzKgTwFA;['alternative rock', 'art rock', 'melancholia', 'modern rock', 'permanent wave', 'rock']
37;AG_Top100_18;38;Juliette Armanet;L’amour en Solitaire;Petite Amie (Edition Délice);2018-06-22;1;57;0d8umBN0EQqPyYPWFnUM22;175226;0.801;0.505;5;-7.518;0;0.0326;0.361;3.89e-05;0.271;0.536;128.021;0.536;https://api.spotify.com/v1/tracks/0d8umBN0EQqPyYPWFnUM22;4;spotify:track:0d8umBN0EQqPyYPWFnUM22;['chanson', 'french indie pop', 'french indietronica']
38;AG_Top100_18;39;Roméo Elvis;Bébé aime la drogue;Morale 2;2017-03-17;1;2;1cOwF53LSRCq3D2BnTj9CU;226148;0.901;0.318;7;-11.062;1;0.412;0.676;1.33e-05;0.0997;0.259;120.046;0.259;https://api.spotify.com/v1/tracks/1cOwF53LSRCq3D2BnTj9CU;4;spotify:track:1cOwF53LSRCq3D2BnTj9CU;['belgian hip hop', 'french hip hop']
39;AG_Top100_18;40;Lucien & The Kimono Orchestra;Blueshirt;Lucien & The Kimono Orchestra;2016-10-28;1;33;7iNpIlWcK5b6TfKkBqHc0O;206496;0.644;0.539;0;-10.019;0;0.0512;0.416;0.825;0.105;0.424;89.638;0.424;https://api.spotify.com/v1/tracks/7iNpIlWcK5b6TfKkBqHc0O;4;spotify:track:7iNpIlWcK5b6TfKkBqHc0O;['french indietronica']
40;AG_Top100_18;41;Mac Miller;Come Back to Earth;Swimming;2018-08-03;1;75;01z2fBGB8Hl3Jd3zXe4IXR;161840;0.272;0.238;2;-12.148;0;0.0349;0.89;0.00925;0.275;0.119;83.507;0.119;https://api.spotify.com/v1/tracks/01z2fBGB8Hl3Jd3zXe4IXR;4;spotify:track:01z2fBGB8Hl3Jd3zXe4IXR;['hip hop', 'pop rap', 'rap']
41;AG_Top100_18;42;The Colorist Orchestra;Blood Red;The Colorist & Emiliana Torrini;2016-12-09;1;29;6pic2SmvyyJCV3zmtfrwJa;320080;0.536;0.499;2;-9.605;0;0.0505;0.729;0.0832;0.711;0.659;142.394;0.659;https://api.spotify.com/v1/tracks/6pic2SmvyyJCV3zmtfrwJa;4;spotify:track:6pic2SmvyyJCV3zmtfrwJa;[]
42;AG_Top100_18;43;Echo & the Bunnymen;The Killing Moon;Songs To Learn And Sing;1985-11-11;1;65;15049rGLXHwrWtE4euUb5C;346280;0.522;0.85;7;-4.769;1;0.0361;0.132;0.0338;0.295;0.71;124.216;0.71;https://api.spotify.com/v1/tracks/15049rGLXHwrWtE4euUb5C;4;spotify:track:15049rGLXHwrWtE4euUb5C;['alternative rock', 'art rock', 'britpop', 'dance rock', 'dream pop', 'indie rock', 'neo-psychedelic', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'post-punk', 'punk', 'rock', 'uk post-punk']
43;AG_Top100_18;44;Joy Division;Disorder - 2007 Remastered Version;Unknown Pleasures;1979-06-01;1;64;38wCbVfMreML5ZhF5iQuKA;209039;0.32;0.798;10;-7.078;0;0.124;0.00033;0.692;0.176;0.74;84.696;0.74;https://api.spotify.com/v1/tracks/38wCbVfMreML5ZhF5iQuKA;4;spotify:track:38wCbVfMreML5ZhF5iQuKA;['alternative rock', 'art rock', 'dance rock', 'garage rock', 'indie rock', 'madchester', 'modern rock', 'neo-psychedelic', 'new wave', 'post-punk', 'rock', 'uk post-punk']
