;Unnamed: 0;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence.1;Track_href;Time_signature;uri;Genres;User
671;71;MC_Top100_18;72;Parcels;Hideout;Hideout;2017-01-27;1;51;7xrC5Tcw7ZsR060M4KpwRw;266454;0.784;0.5870000000000001;9;-6.361000000000001;1;0.0422;0.273;0.0107;0.35600000000000004;0.855;107.999;0.855;https://api.spotify.com/v1/tracks/7xrC5Tcw7ZsR060M4KpwRw;4;spotify:track:7xrC5Tcw7ZsR060M4KpwRw;['aussietronica', 'french indietronica'];MC
672;72;MC_Top100_18;73;Leon Bridges;Smooth Sailin';Coming Home (Deluxe);2016-02-05;1;49;3jpeI1goQHPIwwCMxrLrwx;183333;0.6409999999999999;0.721;11;-6.787999999999999;0;0.0451;0.413;7.15e-06;0.24600000000000002;0.753;67.055;0.753;https://api.spotify.com/v1/tracks/3jpeI1goQHPIwwCMxrLrwx;4;spotify:track:3jpeI1goQHPIwwCMxrLrwx;['modern blues', 'soul'];MC
673;73;MC_Top100_18;74;Cage The Elephant;Back Against the Wall - Unpeeled;Unpeeled;2017-07-28;1;41;0SjIyM5mHEAV6KpuL3Oznl;226813;0.597;0.8059999999999999;1;-5.66;1;0.0318;0.11699999999999999;1.48e-06;0.665;0.725;113.134;0.725;https://api.spotify.com/v1/tracks/0SjIyM5mHEAV6KpuL3Oznl;4;spotify:track:0SjIyM5mHEAV6KpuL3Oznl;['garage rock', 'indie pop', 'indie rock', 'modern alternative rock', 'modern rock', 'punk blues', 'rock'];MC
674;74;MC_Top100_18;75;Polo & Pan;Nanã;Caravelle (Deluxe);2018-07-13;1;42;77nbIFtn6K7TEQKl8FVO5H;190866;0.687;0.74;4;-6.305;0;0.0335;0.187;0.0792;0.24;0.381;94.01;0.381;https://api.spotify.com/v1/tracks/77nbIFtn6K7TEQKl8FVO5H;3;spotify:track:77nbIFtn6K7TEQKl8FVO5H;['french indie pop', 'french indietronica'];MC
675;75;MC_Top100_18;76;The Magic Gang;All This Way;The Magic Gang (Deluxe);2018-03-16;1;52;7k28YUCgLlUvixRTWIrnVn;190973;0.652;0.672;10;-5.778;1;0.0317;0.000851;0.000291;0.0706;0.7290000000000001;96.99600000000001;0.7290000000000001;https://api.spotify.com/v1/tracks/7k28YUCgLlUvixRTWIrnVn;4;spotify:track:7k28YUCgLlUvixRTWIrnVn;['brighton indie', 'english indie rock', 'indie rock', 'modern alternative rock'];MC
676;76;MC_Top100_18;77;Her;Rocket Man - Live à l'Olympia / 2018;Live Tape #3;2018-06-29;1;34;3VDRqkAnPOGHLSJu0PPsmy;272893;0.396;0.276;10;-11.744000000000002;1;0.0366;0.654;0.0;0.843;0.158;124.6;0.158;https://api.spotify.com/v1/tracks/3VDRqkAnPOGHLSJu0PPsmy;4;spotify:track:3VDRqkAnPOGHLSJu0PPsmy;['french indie pop', 'french indietronica'];MC
677;77;MC_Top100_18;78;L'Impératrice;Vanille fraise;Vanille fraise;2015;1;61;7nZ9CzhiFRPhOQCn7eDSnn;238183;0.767;0.547;7;-11.458;0;0.0474;0.0399;0.485;0.0949;0.66;103.03;0.66;https://api.spotify.com/v1/tracks/7nZ9CzhiFRPhOQCn7eDSnn;4;spotify:track:7nZ9CzhiFRPhOQCn7eDSnn;['filter house', 'french indie pop', 'french indietronica'];MC
678;78;MC_Top100_18;79;The Rubens;Cut Me Loose;Hoops;2016-02-19;1;25;6BB9DisJVzsNSWUWAlDX2X;179813;0.589;0.78;0;-5.207000000000001;1;0.0239;0.0009939999999999999;1.91e-06;0.10400000000000001;0.831;98.99700000000001;0.831;https://api.spotify.com/v1/tracks/6BB9DisJVzsNSWUWAlDX2X;4;spotify:track:6BB9DisJVzsNSWUWAlDX2X;['australian indie', 'australian pop'];MC
679;79;MC_Top100_18;80;Kendrick Lamar;All The Stars (with SZA);Black Panther The Album Music From And Inspired By;2018-02-09;1;24;2Imq77E6CEJR5TPUxlJvTY;232186;0.532;0.642;5;-4.891;0;0.111;0.0548;0.000246;0.0991;0.536;193.016;0.536;https://api.spotify.com/v1/tracks/2Imq77E6CEJR5TPUxlJvTY;4;spotify:track:2Imq77E6CEJR5TPUxlJvTY;['conscious hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap'];MC
680;80;MC_Top100_18;81;Queen;Bohemian Rhapsody - Remastered 2011;A Night At The Opera (2011 Remaster);1975-11-21;1;88;4u7EnebtmKWzUH433cf5Qv;354320;0.414;0.40399999999999997;0;-9.927999999999999;0;0.0499;0.271;0.0;0.3;0.22399999999999998;71.105;0.22399999999999998;https://api.spotify.com/v1/tracks/4u7EnebtmKWzUH433cf5Qv;4;spotify:track:4u7EnebtmKWzUH433cf5Qv;['glam rock', 'rock'];MC
